Mode,Transliteration,Arabic,Indicators,Gloss
SUBJUGATION,qitāl / ikhḍāʿ,قتال / إخضاع,قتال، قاتل، حرب، غزا، سيف، قتل، هزم، ظفر، غنم، سبي، فتح، حصار,"fighting, warred, attacked, raided, sword, killed, defeated, triumphed, plundered, captured, conquered, siege"
SUBMISSION,ṭāʿa,طاعة,طاعة، أطاع، رجع، تاب، أسلم، بايع، صالح، أمان، سلم، أدى الزكاة,"obedience, obeyed, returned, repented, submitted, pledged allegiance, peace, safe conduct, surrendered, paid zakāt"
MIXED,mukhtalaṭ,مختلط,Combination of qitāl + ṭāʿa indicators,Both military and diplomatic elements
