Name,Arabic,Tribe,Region,Claim,Outcome
Musaylima ibn Ḥabīb,مسيلمة بن حبيب,Banū Ḥanīfa (Rabīʿa confederation),al-Yamāma,Prophet receiving revelation from al-Raḥmān,Killed at Battle of ʿAqrabāʾ by Waḥshī ibn Ḥarb (12 AH)
al-Aswad al-ʿAnsī (ʿAbhala ibn Kaʿb),الأسود العنسي (عبهلة بن كعب),ʿAns (Madhḥij confederation),Yemen,Prophet; claimed angel visited him,Assassinated in Ṣanʿāʾ by Qays ibn Makshūḥ and Fayrūz al-Daylamī (11 AH)
Ṭulayḥa ibn Khuwaylid al-Asadī,طليحة بن خويلد الأسدي,Banū Asad,Najd,Prophet receiving revelation from Dhū l-Nūn,"Survived - fled to Syria, later converted back to Islam, died at Nihāwand (21 AH"
Sajāḥ bint al-Ḥārith,سجاح بنت الحارث التميمية,Banū Tamīm / Banū Taghlib (Christian tribe),Jazīra / Najd,Prophetess,"Survived - converted to Islam, died during Muʿāwiya's caliphate"
Laqīṭ ibn Mālik Dhū l-Tāj,لقيط بن مالك ذو التاج,al-Azd,Oman,King (not prophet) - restored pre-Islamic kingship,Killed at Battle of Dibā (11-12 AH)
